Group_ID,Galaxy_ID,zs,RA,DEC,zp,zp_Upper,zp_Lower,zp_prob,groupdist,log10_M,Class,R200,R200_err,morph_zurich_match,morph_zurich_d2d,morph_zurich_flag,griffith_match,griffith_d2d,griffith_flag,ultravista_match,ultravista_d2d,ultravista_flag,ch1,J,V,zpband
40,277060,-99.99,150.40359,1.789187,0.98,0.01,0.02,0.75,1.84,10.36,sf,1.21,0.19,43253,0.243466584,FALSE,7450,0.113278853,FALSE,5131,0.264580981,FALSE,44.982,18.421,1.002,9.133
40,277083,-99.99,150.42383,1.787629,1.04,0.03,0.03,0.16,1.81,9.67,sf,1.21,0.19,43158,0.113051695,FALSE,7588,0.133295564,FALSE,5033,0.173878622,FALSE,11.902,9.367,3.137,8.042
40,277335,-99.99,150.40775,1.78728,0.98,0.09,0.03,0.5,1.86,10.42,sf,1.21,0.19,43236,0.093472353,FALSE,7611,0.086657593,FALSE,5031,0.047234514,FALSE,56.801,21.342,1.309,11.696
40,277609,-99.99,150.44525,1.785919,0.89,0.05,0.05,0.23,1.97,9.91,p,1.21,0.19,43059,8.657186843,TRUE,7637,0.082704054,FALSE,4962,0.111360859,FALSE,6.452,3.518,0.1,1.971
40,277907,-99.99,150.45858,1.783541,1.04,0.05,0.09,0.3,2.2,9.57,sf,1.21,0.19,20171,4.478700992,TRUE,7651,0.114645442,FALSE,4887,0.292555113,FALSE,5.849,4.152,0.774,2.91
40,278080,-99.99,150.43989,1.782905,0.92,0.07,0.06,0.34,2.01,10.06,int,1.21,0.19,43076,0.086908293,FALSE,7654,0.109480913,FALSE,4856,0.18572023,FALSE,18.531,8.444,0.308,4.33
40,279378,-99.99,150.44886,1.774093,0.84,0.06,0.12,0.11,2.33,9.76,p,1.21,0.19,20192,10.43272806,TRUE,7702,0.086884214,FALSE,4459,0.156971002,FALSE,3.278,4.051,0.287,2.632
40,279554,-99.99,150.40363,1.772934,0.99,0.02,0.03,0.49,2.3,9.68,sf,1.21,0.19,43233,9.684168109,TRUE,7708,0.070123954,FALSE,4433,0.2159014,FALSE,7.882,4.301,0.557,2.547
40,280231,-99.99,150.41328,1.767769,0.93,0.17,0.03,0.25,2.4,10.02,sf,1.21,0.19,43195,0.338753542,FALSE,7295,0.240940744,FALSE,4334,0.3340998,FALSE,26.625,11.837,2.638,6.403
40,301890,-99.99,150.38364,1.787613,0.97,0.02,0.03,0.61,2.12,10.01,sf,1.21,0.19,44300,0.112944261,FALSE,9670,0.083648146,FALSE,5034,0.036,FALSE,20.874,11.907,1.565,6.889
40,495986,-99.99,150.46971,1.793377,0.85,0.08,0.04,0.2,2.15,9.89,p,1.21,0.19,19988,6.822988411,TRUE,7605,0.106468482,FALSE,5238,0.139821806,FALSE,11.087,5.515,0.259,3.361
40,495988,-99.99,150.47294,1.792986,1.05,0.02,0.08,0.28,2.22,10.49,p,1.21,0.19,19907,4.439003866,TRUE,31602,0.177989699,FALSE,5294,0.211901324,FALSE,38.469,11.348,0.175,4.04
40,495992,-99.99,150.43257,1.793118,0.99,0.04,0.04,0.51,1.67,10.78,sf,1.21,0.19,43126,0.165193078,FALSE,31106,0.185570192,FALSE,5303,0.164826495,FALSE,69.413,11.267,0.313,4.22
40,500635,-99.99,150.42572,1.926243,0.94,0.11,0.09,0.3,2.24,9.9,p,1.21,0.19,42474,4.345452966,TRUE,208707,0.166478594,FALSE,11424,0.124438371,FALSE,4.583,3.939,-0.032,1.504
40,501014,-99.99,150.45694,1.9239,0.99,0.01,0.02,0.56,2.39,10.72,sf,1.21,0.19,42334,0.178841271,FALSE,29127,0.11618738,FALSE,11386,0.180042557,FALSE,87.221,25.877,1.597,11.262
40,501145,-99.99,150.43004,1.922348,0.96,0.02,0.01,0.63,2.13,9.63,sf,1.21,0.19,42446,0.10533022,FALSE,29137,0.107659306,FALSE,11245,0.061632323,FALSE,5.235,7.304,1.705,5.471
40,501154,-99.99,150.42881,1.922329,0.83,0.11,0.01,0.21,2.13,10.49,int,1.21,0.19,42462,0.342175019,FALSE,29133,0.161603425,FALSE,11314,0.126797188,FALSE,52.164,21.907,1.189,11.793
40,501157,-99.99,150.42897,1.919721,0.99,0.01,0.01,0.56,2.05,10.69,sf,1.21,0.19,42457,0.09129297,FALSE,29154,0.095753744,FALSE,11156,0.094932971,FALSE,95.312,31.767,1.991,15.845
40,501383,-99.99,150.40749,1.921144,0.93,0.27,0.05,0.2,2.13,9.9,int,1.21,0.19,43743,13.33649293,TRUE,208478,0.086626591,FALSE,11098,0.131728895,FALSE,2.588,3.508,0.124,1.544
